Word,Category
受辱,Verbs
受騙,Verbs
叛亂,Nouns
叛變,Verbs
叛逆,Nouns
叢書,Nouns
叢林,Nouns
口,Nouns
口供,Nouns
口吃,Adjectives
口哨,Nouns
口感,Adjectives
口才,Nouns
口氣,Adjectives
口沫,Nouns
口沫橫飛,Nouns
口渴,Nouns
口琴,Nouns
口福,Nouns
口紅,Nouns
口罩,Nouns
口腔,Nouns
口角,Nouns
口語,Nouns
口譯,Nouns
口述,Nouns
口香糖,Nouns
古,Nouns
古典,Nouns
古怪,Adjectives
古時候,Temporal Words
古板,Adjectives
古柯鹼,Nouns
古箏,Nouns
古老,Nouns
古董,Nouns
古蹟,Nouns
句型,Nouns
句子,Nouns
句法,Nouns
句號,Nouns
另外,Nouns
叩應,Nouns
叩門,Nouns
叩關,Nouns
只,Quantifiers
只好,Emphasis Words
只怕,Causal Conjunctions
只是,Scope Words
只有,Quantifiers
只有一個,Quantifiers
只要,Conditional Words
叫,Pronouns
叫做,Pronouns
叫喊,Verbs
叫座,Verbs
叫老師,Verbs
叫號,Verbs
叫賣,Verbs
召喚,Verbs
召見,Verbs
召開,Verbs
召集,Verbs
叮嚀,Emphasis Words
可以,Adjectives
可口,Nouns
可口可樂,Adjectives
可怕,Adjectives
可恥,Adjectives
可惜,Adjectives
可惡,Emphasis Words
可憐,Adjectives
可是,Mood Particles
可疑,Adjectives
可能,Adverbs
可靠,Adjectives
台中,Nouns
台北,Nouns
台北捷運,Nouns
台南,Nouns
台大,Nouns
台灣,Nouns
台灣大學,Nouns
台灣高速鐵路,Nouns
台詞,Nouns
台風,Verbs
叱喝,Nouns
史,Nouns
史書,Nouns
史記,Nouns
史跡,Nouns
右,Adjectives
右手,Nouns
右邊,Adjectives
吃,Verbs
吃下去,Verbs
吃不消,Adverbs
吃光,Verbs
吃力,Adjectives
吃完,Verbs
吃東西,Nouns
吃癟,Adjectives
吃粽子,Verbs
吃苦,Adjectives
吃藥,Verbs
吃虧,Adjectives
吃醋,Verbs
吃重,Adjectives
吃飯,Verbs
吃飽了,Emphasis Words
合作,Coordinating Conjunctions
合併,Coordinating Conjunctions
合唱,Nouns
合夥,Nouns
合奏,Nouns
合情合理,Adjectives
合格,Adjectives
合法,Adjectives
合照,Nouns
合約,Nouns
合群,Adjectives
合身,Nouns
吉他,Mood Particles
吉凶,Adjectives
吉利,Nouns
吉普車,Nouns
吉祥,Nouns
吊床,Nouns
吊扇,Nouns
吊橋,Temporal Words
吊車,Pronouns
吊銷,Coordinating Conjunctions
同性婚姻,Pronouns
同情,Adjectives
同意,Verbs
同感,Adjectives
同樂會,Nouns
同班,Nouns
同甘共苦,Idioms
同行,Nouns
名冊,Nouns
名勝,Nouns
名單,Nouns
名字,Nouns
名師,Nouns
名次,Nouns
名片,Nouns
名牌,Nouns
名產,Nouns
名稱,Nouns
名言,Nouns
名詞,Nouns
名譽,Nouns
后冠,Verbs
吐,Nouns
吐司,Verbs
吐痰,Nouns
吐血,Verbs
向,Scope Words
向上,Directional Words
向心力,Nouns
向日葵,Nouns
君權,Nouns
吝嗇,Adjectives
吞嚥,Verbs
吞沒,Verbs
吟詩,Verbs
否則,Causal Conjunctions
否定,Emphasis Words
否決,Negation Words
否認,Negation Words
吩咐,Negation Words
含冤,Verbs
含糊,Adjectives
含羞草,Scope Words
含蓄,Nouns
含辛茹苦,Nouns
吳,Emphasis Words
吳郭魚,Nouns
吵,Verbs
吵架,Verbs
吶喊,Verbs
吸塵器,Nouns
吸引,Verbs
吸收,Verbs
吸毒,Verbs
吸煙,Verbs
吸盤,Nouns
吸管,Nouns
吸食,Verbs
吹,Verbs
吹口哨,Verbs
吹奏,Verbs
吹泡泡,Verbs
吹牛,Verbs
吹蠟燭,Verbs
吹頭髮,Nouns
吹風機,Nouns
吻,Verbs
吻合,Verbs
吼,Nouns
吼叫,Adjectives
呂,Nouns
呆板,Adjectives
呈報,Verbs
呈現,Verbs
告別,Verbs
告密,Verbs
告狀,Verbs
告知,Verbs
告示,Verbs
告訴,Verbs
告訴老師,Verbs
告誡,Verbs
告辭,Verbs
告退,Verbs
呢喃,Mood Particles
周,Temporal Words
周圍,Nouns
周詳,Adjectives
周轉,Nouns
味精,Nouns
味道,Verbs
呵欠,Verbs
呵癢,Verbs
呵護,Verbs
呻吟,Verbs
呼吸,Verbs
呼喊,Verbs
呼喚,Verbs
呼拉圈,Nouns
呼籲,Verbs
命中,Nouns
命令,Nouns
命案,Nouns
命運,Nouns
命題,Nouns
咄咄逼人,Adjectives
咆哮,Verbs
和,Verbs
和好,Nouns
和尚,Nouns
和平,Adjectives
和氣,Adjectives
和睦,Adjectives
和緩,Adjectives
和解,Adjectives
和談,Nouns
和諧,Nouns
咎由自取,Nouns
咖啡色,Adjectives
咬,Verbs
咬定,Adverbs
咬碎,Verbs
咬緊牙關,Adverbs
咬耳朵,Verbs
咳嗽,Verbs
咳痰,Verbs
咳血,Verbs
哀傷,Nouns
哀悼,Nouns
哀愁,Adjectives
哀求,Verbs
品,Nouns
品德,Nouns
品格,Nouns
品牌,Nouns
品種,Verbs
品行,Mood Particles
員,Nouns
哥哥,Pronouns
哥哥弟弟,Pronouns
哨子,Nouns
哪一個,Question Pronouns
哪有,Question Pronouns
哪裡,Question Pronouns
哭,Verbs
哭泣,Verbs
哭笑不得,Adverbs
哮喘,Nouns
哲學系,Nouns
哲理,Nouns
哺乳,Nouns
哺育,Nouns
哽咽,Emphasis Words
唆使,Nouns
唐三彩,Nouns
唐人街,Temporal Words
唐朝,Nouns
唯一,Scope Words
唯命是從,Scope Words
唱,Verbs
唱反調,Adverbs
唱歌,Verbs
唱票,Verbs
唸書,Verbs
唾棄,Emphasis Words
唾液,Nouns
啄木鳥,Nouns
商,Nouns
商品,Nouns
商場,Nouns
商店,Nouns
商數,Nouns
商業,Nouns
商標,Nouns
商船,Nouns
商號,Nouns
商行,Verbs
商量,Verbs
問,Verbs
問世,Nouns
問答,Question Words
問號,Question Punctuation
問題,Question Nouns
啞,Pronouns
啞口無言,Question Nouns
啞鈴,Nouns
啟智學校,Nouns
啟程（起程）,Nouns
啟聰,Nouns
啟聰學校,Nouns
啟蒙,Nouns
啟迪（啟發）,Nouns
啤酒,Nouns
啦啦隊,Nouns
啼笑皆非,Nouns
善待,Nouns
善後,Nouns
善心,Nouns
善意,Nouns
善良,Nouns
喇叭,Nouns
喊,Verbs
喊叫,Verbs
喊紅燈,Verbs
喋喋不休,Verbs
喑啞,Adjectives
喘,Verbs
喘息,Verbs
喚醒,Verbs
喜事,Nouns
喜劇,Nouns
喜好,Nouns
喜帖,Nouns
喜悅,Nouns
喜愛,Nouns
喜歡,Nouns
喜洋洋,Nouns
喜筵,Verbs
喜酒,Verbs
喝,Verbs
喝水,Temporal Words
喝采,Adjectives
喝阻,Nouns
喧鬧,Nouns
喪失,Nouns
喪禮,Nouns
喬妝,Nouns
喬木,Nouns
喬遷,Nouns
單人房,Nouns
單位,Nouns
單元,Nouns
單打,Nouns
單打獨鬥,Nouns
單據,Nouns
單數,Nouns
單槓,Adjectives
單獨,Nouns
單純,Nouns
單薄,Adjectives
單行道,Nouns
單調,QuestionPronouns
單身女,Nouns
單身漢,Nouns
嗅覺,Adjectives
嗎,Nouns
嗎啡,Adjectives
嗓子,Nouns
嗓門,Adjectives
嗓音,Nouns
嗜好,Nouns
嗤之以鼻,Emphasis Words
嘆氣,Verbs
嘈雜,Adjectives
嘉勉,Verbs
嘉年華會,Nouns
嘉惠,Verbs
嘉獎,Verbs
嘉義,Nouns
嘔吐,Verbs
嘗試,Adverbs
嘮叨,Causal Conjunctions
嘲笑,Verbs
嘴巴,Nouns
噤聲,Emphasis Words
器官,Nouns
器材,Nouns
噪音,Nouns
噴嚏,Verbs
噴水池,Nouns
噴泉,Nouns
噴酒精,Verbs
嚇一跳,Emotion Particles
嚐,Verbs
嚐試,Verbs
嚮導,Nouns
嚮往,Nouns
嚴格,Adjectives
嚴重,Adjectives
囂張,Adjectives
囉唆,Mood Particles
囊括,Quantifiers
囑咐,Verbs
囚犯,Verbs
囚禁,Nouns
四,Verbs
四十,Quantifiers
四周,Quantifiers
四季,Temporal Words
四平八穩,Nouns
四捨五入,Nouns
四月,Adjectives
四海為家,Adjectives
四維八德,Temporal Words
四肢,Nouns
回信,Verbs
回味,Verb
回報,Verb
回家,Verb
回復,Verb
回想,Verb
回憶,Verb
回收,Verb
回教,Noun
回數票,Noun
回程,Noun
回答,Verb
回頭是岸,Expression
回顧,Verb
回饋,Verb
回首,Verb
因小失大,Expression
因數,Noun
因材施教,Noun
因果,Noun
因此,Causal Conjunction
因為,Because
困惑,Confusion
困擾,Trouble
困苦,Hardship
困難,Adjectives
固執,Adjectives
固定,Adjectives
固體,Nouns
圈套,Nouns
圈子,Nouns
圈選,Nouns
國,Nouns
國一,Nouns
國三,Nouns
國中,Nouns
國中一年級,Nouns
國中三年級,Nouns
國中二年級,Nouns
國中畢業,Nouns
國二,Nouns
國劇,Nouns
國土,Nouns
國定假日,Nouns
國家,Nouns
國小,Nouns
國慶,Nouns
國曆,Nouns
國會,Nouns
國歌,Nouns
國民所得,Nouns
國泰民安,Nouns
國王,Nouns
國產,Nouns
國畫,Nouns
國立,Nouns
國立中正大學,Nouns
國立交通大學,Nouns
國立台灣大學,Nouns
國立成功大學,Nouns
國立清華大學,Nouns
國籍,Nouns
國花,Nouns
國術,Nouns
國語,Nouns
國貨,Nouns
國軍,Nouns
國防,Nouns
國際,Nouns
圍兜,Nouns
圍巾,Nouns
圍棋,Nouns
圍毆,Verbs
圍牆,Nouns
圍繞,Verbs
園,Nouns
園地,Nouns
園藝,Nouns
園遊會,Nouns
圓,Nouns
圓周,Nouns
圓周率,Nouns
圓形,Nouns
圓滿,Nouns
圓環,Nouns
圓規,Nouns
圖書,Nouns
圖書館,Nouns
圖片,Nouns
圖畫,Nouns
圖畫紙,Nouns
圖表,Verbs
圖釘,Nouns
團結,Nouns
團聚,Nouns
團體,Nouns
土,Nouns
土地,Nouns
土地神,Nouns
土壤,Nouns
土石流,Nouns
土風舞,Nouns
在,Scope Words
在乎,Mood Particles
在場,Temporal Words
在學,Temporal Words
在家閒晃,Nouns
在意,Mood Particles
在職,Temporal Words
在野,Temporal Words
地,Nouns
地下室,Nouns
地下道,Nouns
地圖,Nouns
地址,Nouns
地平線,Nouns
地心引力,Nouns
地攤,Nouns
地方,Nouns
地板,Nouns
地球,Nouns
地球與環境科學系,Nouns
地理,Nouns
地環系,Nouns
地瓜,Nouns
地震,Nouns
地點,Nouns
均勻,Adjectives
均富,Adjectives
均等,Adjectives
均衡,Adjectives
坊間,Nouns
坍塌,Nouns
坎坷,Adjectives
坐,Verbs
坐享其成,Expressions
坐大,Verbs
坐失良機,Expressions
坐正,Verbs
坐牢,Expressions
坐立不安,Verbs
坐視不管,Expressions
坐鎮,Nouns
坡道,Nouns
坦白,Adverbs
坪數,Quantifiers
垂直,Adjectives
垂頭喪氣,Adjectives
垃圾,Nouns
垃圾桶,Nouns
垃圾車,Nouns
垮台,Nouns
埃及,Nouns
埋怨,Mood Particles
埋葬,Mood Particles
埋首,Nouns
城,Nouns
城堡,Nouns
城市,Nouns
城隍廟,Nouns
執意,Nouns
執照,Nouns
執著,Nouns
執行,Nouns
執迷不悟,Nouns
培訓,Nouns
培養,Nouns
基因,Nouns
基層,Nouns
基本,Nouns
基督教,Nouns
基礎,Nouns
基金,Nouns
基隆,Nouns
堂,Nouns
堂哥,Pronouns
堂堂正正,Adjectives
堅固,Adjectives
堅強,Adjectives
堅忍,Adjectives
堅持,Adjectives
堅毅,Nouns
堆高機,Verbs
報仇,Verbs
報到,Verbs
報名,Verbs
報告,Verbs
報導,Verbs
報復,Verbs
報恩,Nouns
報應,Verbs
報案,Nouns
報考,Verbs
報警,Verbs
報酬,Nouns
場,Nouns
場所,Nouns
場面,Nouns
堵塞,Nouns
塌陷,Nouns
塑膠,Nouns
塑膠袋,Nouns
塔,Nouns
塗,Verbs
塗改,Verbs
塞住,Verbs
塞翁失馬,Nouns
塞車,Nouns
填充,Verbs
填報,Nouns
塵埃,Nouns
境域,Nouns
境界,Verbs
墊款,Nouns
墜地,Nouns
增值,Verbs
增進,Verbs
增高,Verbs
墨守成規,Pronouns
墨水,Nouns
墨水匣,Nouns
墨汁,Nouns
墨鏡,Nouns
墨魚,Nouns
墮胎,Verbs
墮落,Verbs
墳墓,Nouns
墾荒,Verbs
壁報,Nouns
壁球,Nouns
壁虎,Nouns
壓,Verbs
壓制,Adjectives
壓力,Nouns
壓抑,Adjectives
壓搾,Adjectives
壓歲錢,Verbs
壓迫,Nouns
壘球,Adjectives
壞人,Nouns
壞掉,Adjectives
壞習慣,Nouns
壞蛋,Nouns
壞話,Nouns
壟斷,Nouns
士,Nouns
士兵,Nouns
士林,Nouns
士氣,Nouns
壯,Adjectives
壯年,Nouns
壯盛,Adjectives
壯膽,Adjectives
壯觀,Adjectives
壽司,Nouns
壽命,Nouns
壽比南山,Nouns
壽險,Nouns
夏,Nouns
夏令營,Temporal Words
夏天,Nouns
夏威夷,Nouns
夏季,Nouns
夏至,Nouns
夕陽,Nouns
外交部,Nouns
外公,Pronouns
外勤,Nouns
外匯,Nouns
外向,Adjectives
外國,Nouns
外國語文學系,Nouns
外埠,Nouns
外套,Nouns
外婆,Pronouns
外孫,Pronouns
外孫女,Nouns
外文系,Nouns
外甥,Nouns
外甥女,Nouns
外用藥,Nouns
外科,Nouns
外籍,Nouns
外號,Adjectives
外行,Nouns
外表,Nouns
外面,Temporal Words
夙夜匪懈,Adverbs
多,Quantifiers
多久?,Question Adverbs
多元,Nouns
多半,Quantifiers
多少,Question Quantifiers
多少年,Question Quantifiers
多少錢?,Adjectives
多愁善感,Adjectives
多才多藝,Frequency Words
多次,Question Quantifiers
多疑,Question Quantifiers
多的是,Question Quantifiers
多虧,Emphasis Words
多遠?,Nouns
多重?,Nouns
多長?,Nouns
多麼,Nouns
夜光錶,Nouns
夜市,Emphasis Words
夠交情,Emphasis Words
夠朋友,Emphasis Words
夠格,Quantifiers
夢,Nouns
夢境,Nouns
夢幻,Adjectives
夢想,Nouns
夢鄉,Temporal Words
大,Nouns
大一,Adjectives
大事,Nouns
大便,Nouns
大動脈,Nouns
大吉,Nouns
大同,Nouns
大同小異,Nouns
大哥大,Nouns
大富翁,Nouns
大局,Nouns
大庭廣眾,Nouns
大廈,Nouns
大快人心,Adjectives
大意,Adjectives
大慈大悲,Adjectives
大拇指,Nouns
大掃除,Nouns
大方,Adjectives
大於勝過,Adjectives
大智若愚,Nouns
大概,Adverbs
大樓,Nouns
大洋洲,Nouns
大海撈針,Nouns
大班,Nouns
大理石,Nouns
大男人主義,Nouns
大眾,Nouns
大眾傳播,Adverbs
大碗,Nouns
大約,Adverbs
大腸,Nouns
大腸包小腸,Nouns
大腹便便,Adjectives
大膽,Adjectives
大蒜,Nouns
大西洋,Nouns
大計,Nouns
大豆,Nouns
大象,Nouns
大賣場,Nouns
大赦,Nouns
大過,Nouns
大都會,Nouns
大量,Quantifiers
大開眼界,Expressions
大阪,Nouns
大陸,Nouns
大雨,Nouns
大頭貼,Nouns
大頭針,Nouns
大驚小怪,Expressions
天,Nouns
天下,Nouns
天下為公,Expressions
天主教,Nouns
天作之合,Nouns
天使,Nouns
天倫,Nouns
天地,Nouns
天堂,Nouns
天性,Nouns
天才,Nouns
天文,Nouns
天文數字,Nouns
天橋,Nouns
天氣,Nouns
天涯,Nouns
天涯海角,Nouns
天災,Nouns
天然,Nouns
天然氣,Nouns
天理,Nouns
天真,Nouns
天空,Nouns
天窗,Nouns
天資,Temporal Words
太,Scope Words
太多,Scope Words
太太,Temporal Words
太平,Nouns
太平洋,Nouns
太平門,Nouns
太平間,Nouns
太極拳,Nouns
太空人,Nouns
太空梭,Emphasis Words
太過分,Nouns
太陽,Nouns
太陽穴,Nouns
太陽能,Nouns
太陽餅,Pronouns
夫唱婦隨,Nouns
夫妻,Nouns
夫婦,Nouns
夫子,Adjectives
夭折,Nouns
央,Nouns
失,Adjectives
失信,Nouns
失學,Emphasis Words
失常,Adjectives
失意,Adjectives
失戀,Adjectives
失手,Adjectives
失掉,Adjectives
失效,Adjectives
失敗,Adjectives
失望,Adjectives
失業,Adjectives
失火,Adjectives
失眠,Adjectives
失神,Adjectives
失禮,Adjectives
失竊,Adjectives
失約,Adjectives
失色,Adjectives
失足,Adjectives
失蹤,Nouns
失身,Nouns
夾克,Adjectives
夾菜,Adjectives
奇妙,Adjectives
奇異,Nouns
奇異果,Nouns
奇裝異服,Nouns
奇蹟,Nouns
奈何,Mood Particles
奉公守法,Verbs
奉命,Verbs
奉獻,Verbs
奉送,Verbs
奉陪,Verbs
奉養,Verbs
奏效,Verbs
奏樂,Verbs
契約,Nouns
奔波,Verbs
奔走,Nouns
奔跑,Nouns
套用,Adjectives
套裝,Nouns
奢侈,Nouns
奢望,Verbs
奪標,Verbs
奮發,Verbs
奮鬥,Verbs
女人,Nouns
女兒,Nouns
女同性戀,Nouns
女婿,Nouns
女嬰,Nouns
女性,Nouns
女性團體,Nouns
女生,Nouns
女追男,Nouns
奴僕,Nouns
奴才,Nouns
奶,Nouns
奶奶,Nouns
奶媽,Pronouns
奶粉,Adjectives
奸細,Mood Particles
好久,Temporal Words
好久沒有,Temporal Words
好事,Nouns
好人,Nouns
好像,Emphasis Words
好冷,Adjectives
好吃,Adjectives
好吃懶做,Adjectives
好多,Quantifiers
好奇,Adjectives
好市多,Nouns
好強,Adjectives
好心,Adjectives
好意,Adjectives
好感,Adjectives
好熱,Adjectives
好玩,Adjectives
好看,Adjectives
好笑,Adjectives
好色,Nouns
好處,Adjectives
好險,Emphasis Words
如今,Temporal Words
如何,Question Adverbs
如同,Like
如意,Emphasis Words
如果,Conditional Words
如此,Like
如法炮製,Like
如釋重負,Mood Particles
如願,Emphasis Words
妄想,Mood Particles
妒忌,Pronouns
妓女,Nouns
妖怪,Nouns
妙手回春,Adjectives
妙計,Adverbs
妙齡,Nouns
妥協,Nouns
妥善,Pronouns
妨礙,Pronouns
妯娌,Nouns
妹妹,Pronouns
姊妹,Nouns
姊姊,Nouns
姊姊妹妹,Nouns
始終,Temporal Words
姐姐,Nouns
姑丈,Nouns
姑姑,Nouns
姑娘,Nouns
姑息,Adverbs
姑母,Nouns
姓,Nouns
姓名,Nouns
委員,Nouns
姨丈,Nouns
姪兒,Nouns
姪子,Nouns
姿態,Verbs
威脅,Nouns
威風,Nouns
娘家,Nouns
娛樂,Entertainment Words
娟秀,Adjectives
娶,Verbs
娶媳婦,Nouns
娼妓,Nouns
婆婆,Pronouns
婉謝,Nouns
婉轉,Adjectives
婚假,Nouns
婚姻,Nouns
婦女,Nouns
婦女節,Nouns
婦產科,Nouns
媒介,Nouns
媒婆,Nouns
媒體,Nouns
媳婦,Nouns
媽媽,Pronouns
媽祖,Nouns
媽祖廟,Nouns
嫁,Verbs
嫁妝,Nouns
嫁娶,Nouns
嫁禍,Adjectives
嫂嫂,Nouns
嫂子,Pronouns
嫉妒,Adjectives
嫌少,Adjectives
嫌棄,Adjectives
嫦娥,Nouns
嫩嫩的,Adjectives
嬉戲,Verbs
嬌嗔,Adjectives
嬌生慣養,Adjectives
嬌羞,Adjectives
嬰兒,Nouns
嬸嬸,Nouns
子,Nouns
子宮,Nouns
子弟,Nouns
孔,Nouns
孔子,Nouns
孔廟,Nouns
孔雀,Nouns
孕婦,Nouns
字,Nouns
字典,Nouns
字幕,Nouns
字義,Nouns
字音,Nouns
存在,Verbs
存心,Nouns
存戶,Nouns
存檔,Verbs
存款,Nouns
存錢,Verbs
孝敬,Adjectives
孝道,Nouns
孝順,Adjectives
孝養,Nouns
孟,Nouns
孟子,Nouns
季,Temporal Words
季節,Nouns
季軍,Adjectives
孤兒院,Nouns
孤獨,Nouns
孩子,Nouns
孫,Nouns
孫女,Verbs
孫子,Nouns
孵化,Nouns
孵蛋,Nouns
學務處,Temporal Words
學業,Nouns
學生,Nouns
學生事務處,Nouns
學生證,Nouns
學籍,Nouns
學習,Verbs
學習區,Nouns
學習單,Nouns
學藝,Nouns
學費,Nouns
學長,Nouns
宇宙,Nouns
守,Nouns
守信,Nouns
守分,Nouns
守密,Nouns
守時,Nouns
守望相助,Nouns
守舊,Nouns
守衛,Nouns
安全,Nouns
安全島,Nouns
安全帶,Nouns
安全帽,Nouns
安全氣囊,Nouns
安全門,Nouns
安分守己,Adverbs
安卓系統,Nouns
安可,Nouns
安定,Adjectives
安居樂業,Nouns
安康,Adjectives
安心,Adjectives
安慰,Verb
安打,Nouns
安排,Verb
安撫,Verb
安樂,Nouns
安裝,Verb
安靜,Adjectives
宋朝,Nouns
完,Complete
完了,Adjectives
完全,Adjectives
完成,Adjectives
完整,Adjectives
完滿,Adjectives
完畢,Adjectives
完美,Adjectives
完蛋,Emphasis Words
宏偉,Adjectives
宏圖,Nouns
宗教,Nouns
宗族,Nouns
宗旨,Nouns
官,Nouns
官員,Nouns
官能,Nouns
定價,Adjectives
定居,Nouns
定期存款,Nouns
定義,Adjectives
定量,Adjectives
宜蘭,Nouns
客人,Nouns
客家人,Nouns
客廳,Nouns
客氣,Verbs
客觀,Verbs
客運,Verbs
宣佈,Verbs
室,Nouns
宮廷,Nouns
宮殿,Nouns
宰相,Nouns
害怕,Emphasis Words
害我,Pronouns
害羞,Emphasis Words
害群之馬,Nouns
害處,Nouns
害蟲,Nouns
宴會,Nouns
宵夜,Nouns
家,Nouns
家事,Nouns
家人,Nouns
家庭,Nouns
家政,Nouns
家教,Nouns
家族,Nouns
家產,Nouns
家眷,Nouns
容易,Adjectives
容許,Verb
容貌,Nouns
宿舍,Nouns
寂寞,Adjectives
寄人籬下,Nouns
寄信,Verb
寄生蟲,Nouns
寄託,Verb
密碼,Nouns
富強,Nouns
富有,Adjectives
富裕,Adjectives
富貴,Adjectives
富足,Nouns
富麗堂皇,Temporal Words
寒假,Adjectives
寒冷,Nouns
寒暄,Adjectives
寒流,Nouns
寓言,Nouns
察看,Verb
察言觀色,Nouns
實事求是,Adverbs
實在,Pronouns
實況,Nouns
實現,Verbs
實習,Nouns
實行,Verbs
實話,Nouns
實話實說,Expressions
實際,Nouns
寧可,Mood Particles
寧靜,Adjectives
審判,Adjectives
審問,Verbs
審查,Verbs
寫,Verbs
寫作,Adjectives
寫單據,Adjectives
寫字,Adjectives
寫生,Adjectives
寫真,Nouns
寬窄,Adjectives
寬裕,Adjectives
寵兒,Nouns
寵愛,Nouns
寶刀,Nouns
寶劍,Nouns
寶寶,Nouns
寶座,Nouns
寶物,Nouns
寶石,Nouns
寶藏,Nouns
寶貝,Nouns
寶貴,Adjectives
寸土,Adjectives
寸草,Adjectives
寸鐵,Nouns
寺廟,Nouns
寺院,Nouns
封建,Nouns
封條,Nouns
封殺,Causal Conjunctions
封鎖,Verbs
射箭,Verbs
將來,Temporal Words
將來的最近,Temporal Words
將兵,Nouns
將士,Nouns
將要,Adverbs
將近,Adverbs
專,Nouns
專任,Nouns
專利,Nouns
專制,Nouns
專員,Nouns
專家,Adverbs
專心,Nouns
專案,Nouns
專業,Adverbs
專款,Nouns
專注,Nouns
專長,Nouns
專題,Nouns
尊重,Nouns
尋找,Verbs
尋花問柳,Nouns
尋覓,Verbs
對,Pronouns
對不對,Question Pronouns
對不起,Emphasis Words
對付,Verbs
對待,Verbs
對手,Nouns
對抗,Verbs
對換,Nouns
對方,Pronouns
對於,Nouns
對照,Nouns
對稱,Nouns
對立,Nouns
對策,Nouns
對聯,Nouns
對話,Nouns
對講機,Pronouns
對象,Nouns
導播,Nouns
導演,Nouns
導火線,Nouns
導致,Verbs
導遊,Nouns
小,Adjectives
小一,Nouns
小丑,Nouns
小人偶,Nouns
小便,Nouns
小偷,Nouns
小兒科,Nouns
小兒麻痺,Nouns
小六,Nouns
小姐,Nouns
小孩,Nouns
小學,Nouns
小學一年級,Nouns
小學六年級,Nouns
小學畢業,Nouns
小寶寶,Adjectives
小幫手,Nouns
小康,Adjectives
小提琴,Nouns
小時,Temporal Words
小朋友,Nouns
小毯子,Nouns
小氣,Adjectives
小班,Nouns
小碗,Nouns
小籠包,Nouns
小組,Nouns
小老師,Nouns
小說,Nouns
小販,Nouns
小費,Nouns
少,Quantifiers
少一個,Quantifiers
少囉唆,Emphasis Words
少女,Nouns
少奶奶,Nouns
少將,Nouns
少年,Nouns
少校,Nouns
少爺,Adjectives
少量,Nouns
尖端,Adjectives
尖銳,Adjectives
尚且,Quantifiers
尚未,Quantifiers
尤其,Adverbs
就,Coordinating Conjunctions
就任,Verbs
就學,Verbs
就寢,Verbs
就是嘛,Emphasis Words
就業,Verbs
就職,Verbs
就醫,Verbs
尷尬,Adjectives
尺,Nouns
尺寸,Nouns
尺碼,Nouns
尼姑,Nouns
尼龍,Nouns
尾巴,Nouns
尿布,Nouns
局勢,Nouns
局部,Nouns
屁股,Nouns
居住,Verbs
居然,Adverbs
居留,Verbs
屈打成招,Verb Phrases
屈服,Adjectives
屈臣氏,Nouns
屋子,Nouns
屋樑,Nouns
屋簷,Nouns
屋頂,Nouns
屍首,Nouns
屍體,Nouns
屏東,Verb Phrases
屏障,Verbs
屏風,Verbs
展望,Nouns
展現,Nouns
展示,Nouns
展覽,Nouns
展開,Nouns
屢次,Frequency Words
屢見不鮮,Frequency Words
層出不窮,Frequency Words
層次,Nouns
層級,Nouns
層面,Nouns
履歷表,Nouns
履約,Nouns
履行,Nouns
屬下,Nouns
屬地,Nouns
屬於,Pronouns
屬於他,Pronouns
屬於你,Pronouns
屬於她,Pronouns
屬於我,Nouns
屯墾,Nouns
屯積,Nouns
山,Nouns
山坡,Nouns
山峰,Nouns
山川,Nouns
山洞,Nouns
山羊,Nouns
山谷,Nouns
山麓,Nouns
岔路,Nouns
岩漿,Nouns
岩石,Nouns
岩鹽,Nouns
岳母,Nouns
岳父,Nouns
峭壁,Nouns
島,Nouns
島國,Nouns
島嶼,Nouns
峻嶺,Nouns
峽谷,Nouns
崇尚,Nouns
崇拜,Verbs
崎嶇,Verbs
崗位,Adjectives
崩潰,Nouns
嶄新,Nouns
川,Nouns
州,Nouns
巡視,Verbs
巡迴,Verbs
巢穴,Nouns
工,Nouns
工作,Nouns
工具,Nouns
工友,Nouns
工夫,Nouns
工學院,Nouns
工廠,Nouns
工業,Nouns
工程師,Nouns
工藝,Nouns
工資,Nouns
左,Adverbs
左右,Nouns
左邊,Nouns
巧克力,Nouns
巧合,Nouns
巧妙,Nouns
巨人,Nouns
巫婆,Nouns
巫醫,Nouns
差不多,Adverbs
差事,Nouns
差別,Nouns
差勁,Adjectives
差旅費,Nouns
差異,Nouns
差距,Nouns
差錯,Nouns
己任,Nouns
已往,Temporal Words
已經,Adverbs
巴士,Nouns
巴結,Nouns
巴黎,Nouns
巷,Nouns
巷子,Nouns
市,Nouns
市價,Nouns
市政,Nouns
市政府,Nouns
市民,Nouns
市長,Nouns
布施,Nouns
布置,Nouns
布袋戲,Nouns
帆船,Nouns
希奇,Adjectives
希望,Nouns
希罕,Adjectives
希臘,Nouns
帝君,Nouns
帝國,Nouns
帝王,Nouns
帥,Adjectives
帥哥,Nouns
帥氣,Adjectives
師傅,Nouns
師兄,Nouns
師大,Nouns
師母,Nouns
師父,Nouns
師生,Nouns
師範,Nouns
師資,Nouns
師長,Nouns
帳單,Nouns
帳戶,Nouns
帳目,Nouns
帳簿,Nouns
帶,Verbs
帶動,Verbs
帶原者,Nouns
帶回家,Verbs
帶領,Verbs
常常,Frequency Words
常態,Nouns
常理,Nouns
常規,Nouns
常識,Nouns
帽子,Nouns
幅員,Nouns
幅度,Nouns
幕僚,Nouns
幕後,Nouns
幣值,Nouns
幣制,Helping Verbs
幫,Nouns
幫兇,Helping Verbs
